[Sun Jan 08 17:56:26.712382 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.722308 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.722825 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.732741 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.733233 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.742793 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.743262 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.822926 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.825161 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.830940 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.832595 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
